Category,Published Date,News Headline,News Content / Summary,News Website Link (URL)
🔬 Science,2025-11-17 06:41:12,"Flying 1,000 km per day: Tiny Indian Falcon stuns scientists with marathon flight - India Today","Flying 1,000 km per day: Tiny Indian Falcon stuns scientists with marathon flight  India Today",https://news.google.com/rss/articles/CBMi1AFBVV95cUxQOFgwdUhBYzZqaDVOa1UzTGxkMVcyVDdnS3F4V0JuSFFUcXNJM0FES0k2WXJBMzNTSUIxWW85V1BqekNRTWtnU2Y3TjJySDFtdE5kNWhaRXBFa3c3MnIwRUFfamFrdmtuZ2tLTVozSnFHWFZlU19jZlBYTWJRRDFVQ2NNc0pGcC1wM0Q1NkxMTWNNMjJLSlBfSGZsVXZCdlNXaHAyZjUyV0VyZzNzdFRrc2tObVBZeERKSGhvMzRaeE9IZDI5TnhRSjFFZ1A5MWRfYlFYNtIB2gFBVV95cUxQa1V0dVkzbUQ3aEZYQm4ta3liZkptcllneEZDbU0zUFdGTV8xeEF0RjZoZjBHUUxQeVBMN3NjWlRaSDl2U0Vjb0V0SDY1YUtoakhXREMwVG4wNDRYRC1RNHlKLUtxNmtpVXNiNmhZMnRwTUJkeWlPNWxON3NZTEhNMnZWaWs1Sk9tOHhjQ2diSEJQNmdoMXlCM1NEYW5kRzI2WEVsbExPamdTRkd0WVJ3VXhXUXN6djlHSUNEQkRuZ28wNDA3NTdYcUVyZFVYOTlzVXI1aDg1NV9CZw?oc=5
🖥️ Technology,2025-11-17 06:14:35,AI Governance Guidelines - New Technology - India - Mondaq,AI Governance Guidelines - New Technology - India  Mondaq,https://news.google.com/rss/articles/CBMiggFBVV95cUxOd19GUGdZOEdzTVJCc1VoNG94Yi1YN1M5cy1QVzJYMjIxT3VpV2NDVERYSmZVTXk3bmJJMDNiY2Y0ekM1ckI1eWhMOVRoWkxweElxMkpablFCOGpSUkZuWHRGQzFUSklSUTNjQnh4RzNrQkdnMHZ3MW1fbFlvWHJpTEVn?oc=5
🎬 Entertainment,2025-11-17 06:12:31,Vivek Oberoi admits he once swept rooms and made tea for this popular choreographer-filmmaker - financialexpress.com,Vivek Oberoi admits he once swept rooms and made tea for this popular choreographer-filmmaker  financialexpress.com,https://news.google.com/rss/articles/CBMi6gFBVV95cUxPN2VJdS1ETmJnek8xY1Y3bGlIOTBHelpsRGpidXVuNExMa01UcDZtdkdxNm1rc0RCa2dyTnVPUUZKQzhSMnBITDhKNzM1X0JJbnFpUW05b2tIamMzX2R4LWk4Y0J5azZrcXljWHZfR1BPUmlzWm1LNjVBSFlqZmZBdFhvX0ZiLWw5YnJ4QU5pSkNNMEdWbkhZUDBYWFdmQzZSNXBET1lrdHRxWG5fQnVFM0pNLVdfOWFaNTZxbi05a2trUXVIbDExQVRrQXpDVm93ZUpDS1Vib25RLXZvb3pUbkdhZlRneFpDWmfSAfABQVVfeXFMTU5RZDFfekpKN0pyWmowZ3RoM1NSeDhLcGNMaS1hT2NXYTZNSk9xOFJSaTVPWnowenNkakdySkVVWGhLVVZBUzhoaWZGZGZsOG5jQWc2VDZJVTlZbGFnUTdkbEdXaGktOUdjQmp3VDNjZUNoQzZMd01UVUFaVGNLYUF1Z083cFpjTlgwQ2ZBUGE3cFpDcWdaXzI3MXgzSG8xZDV2QUVSRnZ5MVZSdDZLNXM1UzVOMXk4eXJrSGRERkdnSm5zc2p2ZEJvYklNc2VqVDB4blBkaXpTVjhPUGI1aU9kZy1ISVVBaEhmR2E5Z2Nq?oc=5
💊 Health,2025-11-17 06:02:51,"Violence In Early Childhood Has Immense, Lifelong Mental Health Impacts: Researchers Explain How - NDTV","Violence In Early Childhood Has Immense, Lifelong Mental Health Impacts: Researchers Explain How  NDTV",https://news.google.com/rss/articles/CBMiygFBVV95cUxNNDczelZlT0FWVDZsSEV4YnZSeTkxUThBaUhkd0hTN3FrVm5pTG9ILWlQRFFBM3hwRldFWFJ4UXQwb2xUWWVpVHk5TUNaSW9PM1U2OEZWM0pyM185OFZQWHF6OV9pNGZnZEgzc2hseXlLVXNDNkNhNTlPaDBGdlI4aGRnQU0xZXExSHZ0VmhHREpUVmlqYXlRYXFNbGZvQlp2Y3lsMDh0bG0tX01fdHlUdDlhRmcyOXBvdHl6a24zYXBBemxZeUd6SDFB0gHSAUFVX3lxTFAyc1JtVTJaS2lDWnhnTjZwX2Qwa1ZKeEVHZWxRdHQtQ3dUQTBCTFRvQkVCSUVsdzE0RTJHejhQc2YwQlAxSVJ6ZHBla0hoTnRPWW5kR0FiNmxQNHhtSkgyTExEMDgtWG9pRC1yT2lZcURlRVo1bmo0bGc1WV9CV3pPdFN3TERwRTVfVUwtdXhYTnItMGhlbVluUlBOcVRtNTAteHRJanJheXhSNk1aLUxTUXZRQWtJelVnV1drQVF0RGpseFNmcHFRZ3cwaW9pRENKQQ?oc=5
🖥️ Technology,2025-11-17 05:49:13,"China's investment spree in UK gave it access to military-grade technology, BBC told - BBC","China's investment spree in UK gave it access to military-grade technology, BBC told  BBC",https://news.google.com/rss/articles/CBMiWkFVX3lxTE9LUWcwMEI4dEZ0YmM0aXROWkxGZXE1UEZnLWp1aVo4SDV1eVBRUVlHb19sUjctVXRpREtNRm0ya08zZl93MmVGVS13WmRZelZYMG9XR19qQVlqd9IBX0FVX3lxTFBXVkdGdFM4VDhVY0d0VUF5Rk90WHdRRzFOQWtwWFBERW5aN2gwOGJ4amlvc0ZMUGctQlY5dVJPUHp4eWNjQ3JzTmgyVm5FQ2ZXd3RYWldyM1pIQ2U1bVRj?oc=5
🎬 Entertainment,2025-11-17 05:48:00,Jai Movie Review: This political film bridges messaging and entertainment - The New Indian Express,Jai Movie Review: This political film bridges messaging and entertainment  The New Indian Express,https://news.google.com/rss/articles/CBMi_wFBVV95cUxQb3FFZzh5S285X2F5aUpTdXdxYklsWnE1ZEs4MjktazVuX0ljaXJYZ2ZydkxnLXZLbnZQeUp3VU9TN0FYLXQzSm01TlE1enF4RzdHSFRXVUU2UUdvSWp4ZTR4eTNPVGdIeDNzZV95NzY0dkg4ZHRtVV8tOExnT3FBQ2FWb2dObUFCZEZObXpUcnAwbGpUamRRUmtYZlVqRlVCbFRTZXZQd2VQLUxXOFl1MjVjam1ySXJObkxaMWtqZFo4TTg3N25XNGlONnFSbFROcXg5VDBBcHdaRVphM25jOHN2VVNoeTFxWDZsc3pEa3o2NjNnS3JSWnpmUUJsV0nSAf8BQVVfeXFMUG9xRWc4eUtvOV9heWlKU3V3cWJJbFpxNWRLODI5LWs1bl9JY2lyWGdmcnZMZy12S252UHlKd1VPUzdBWC10M0ptNU5RNXpxeEc3R0hUV1VFNlFHb0lqeGU0eHkzT1RnSHgzc2VfeTc2NHZIOGR0bVVfLThMZ09xQUNhVm9nTm1BQmRGTm16VHJwMGxqVGpkUVJrWGZVakZVQmxUU2V2UHdlUC1MVzhZdTI1Y2ptcklyTm5MWjFramRaOE04NzduVzRpTjZxUmxUTnF4OVQwQXB3WkVaYTNuYzhzdlVTaHkxcVg2bHN6RGt6NjYzZ0tyUlp6ZlFCbFdJ?oc=5
🏅 Sports,2025-11-17 05:33:17,"School Assembly News Headlines for November 17, 2025: Top International, National, Sports Highlights National News - Republic World","School Assembly News Headlines for November 17, 2025: Top International, National, Sports Highlights National News  Republic World",https://news.google.com/rss/articles/CBMi3wFBVV95cUxNZ0dGcnRuV0JNMUZIYjJQRjN2QzAtdmFXYVZzQ09jaVdpWngyT3Q3T2cyTUIwLVoyUE9uclo2SjJNQThzazNjaVlkekhlN2E2Vkw5dGhKNl9nekRDR0ltNU5KbGh3N3pJMHlOQjU1d243ZkI3Ti05YW1kREI0RzNrejBHeG45RGR6MGZxdWxSaFVtMDRnYlN2dWhTV3B2NHozODFTMDZiUWNuRTVlNV9SM1c3V0hSVGtfOVk3bjNNWGFMdHZxdW00V3ljUXFNX0huckhsdE92N2EyM2RhTDZz0gHkAUFVX3lxTFBTTHAzY3F3OVR3TjRIM0t0dWs2X05DaTJSSzFuUHlYb3VWdFlIaEhTQ0hMajliemY3dkxyRmVCWWE4d3pocXYzYk55UzVPWGtPMWZtaUtKaFJNalg1Q2pyTUR1UHE1X1VvQ0RsaXJ4cjRHQktqT0Y0U2tjVWZUUHl6YzEzUEJaTmRyVzBUcS1hZTJ4LXZpR2ZWNU5OU0hRZ2dFZjhsYnVEY0pEcGlvUFBKYVg2RXpYdE1leEgwRENPTVI4a2Z2SGZKOG1zY29tX2duc0JET0tXVlpPQUNORkFWMVM0Nw?oc=5
🎬 Entertainment,2025-11-17 05:32:03,Fans Slam SM Entertainment After Aespa Winter Drops Out Of Bangkok Concert. Know Why! - Hauterrfly,Fans Slam SM Entertainment After Aespa Winter Drops Out Of Bangkok Concert. Know Why!  Hauterrfly,https://news.google.com/rss/articles/CBMiwwFBVV95cUxQeVh2SllLVE84TS1rLV85ZVpBcGRlQlB5aUc1TEw2dGdtQkdEWW9seEpUTjBQSUxnWEt4V0tOUzlJRlFDQ1BISTlRek1wbEpUX3h1cXFZeDREWjh5cjQ3X253RFVEcDNNSmxDMktKZmJOMi14NE85V0ZmLUZrN2I5NnhNNVBIQnRmeGE0VDZDUXFKbk1PdmQ5LW4yMG9LeW5aYXBXZEwxWmRZUk5MTTJnemJYbS1LS01wQmYwUnh2R2dGaGvSAcgBQVVfeXFMTnA4d3dIa2JRUUlQZTJMRGtIRVdZNGUyMlMtd0JvLV9pUDZYRS1TNWp2Szc2bzgzSWFHY3RiNjFpanpxV21uanJPS2xIS29QUzlBNFpMTW84RzFnMWVnOHJaeGFlZHRGbEtqdDRoSFI2eUE3R3hJcEZBUXVZVjZlSDRwaTJCNmJqZVN0OTNMZHotQ05RUnVtWjJ3V3FfNTdtWURZY3BVSFFkMG1Sa2tvb2xfSDluVUpDbWkzcElMZmVHLVdqbkVtckQ?oc=5
🏅 Sports,2025-11-17 05:31:13,"Sports And Epilepsy: Safe, Active Lifestyles Can Empower Young Patients - NDTV","Sports And Epilepsy: Safe, Active Lifestyles Can Empower Young Patients  NDTV",https://news.google.com/rss/articles/CBMiqAFBVV95cUxQTEMtUHVMYXZuV1hhbk9Hcl9kLWwyR2k5bXh3TENZVjB3ejB1clNyTGFnTFFGalkwUER6RUMxeDItU1l2NlI3aUwxMXJDUXNETm9TRV9lSDI1RURkR3VrNU5PNi1iQVRHQ29ia3lYbUdiTVNzS2hyWVFnUWJweU44ZEh1NUtQbkswRVpSM2VhQVhUVDNqbmpSSmhtWVkyTDBYaHNQbGQyZ1DSAbABQVVfeXFMT2hnOWNfbFBVTnJZVEFobGhHUTNhcGtpcFdJSzF5UFlxVm9neXNYckkta1Brb2ZoUzM3R2VCczdMMU9hN0tNLUh1ZG5HTzRSN25tZzVlZkFBYm5IeTlaRUFDOF9Ldk54U294b2M5ck02VFl4dm5jQ0JyWFVXTW5kamU4eHlHTWJHWmJXUDdSMkMwY3R6V3lKX0tmUGUtUThvNFIya1AzTk9Kb1hKQm5lTnE?oc=5
🎬 Entertainment,2025-11-17 05:26:08,Vubiquity Achieves AWS Media & Entertainment Competency For Powerful 2025 Cloud Innovation - Digital Studio India,Vubiquity Achieves AWS Media & Entertainment Competency For Powerful 2025 Cloud Innovation  Digital Studio India,https://news.google.com/rss/articles/CBMiaEFVX3lxTFBObHRCYU41eW1mSDRjb3lQNDhCdkFMc2g3c0FJWFJxLWpZVnQ3bTBYd2NsdjM1VU9oeVBQSEZjY2RyYkxzQ2NGMHBKdXNDeWc1QkU2b09vVWhiS210WGdxaFppem5ka2U3?oc=5
🏅 Sports,2025-11-17 05:04:56,Honda Prelude sports car to be launched in India as a CBU - Team-BHP,Honda Prelude sports car to be launched in India as a CBU  Team-BHP,https://news.google.com/rss/articles/CBMiggFBVV95cUxNYU0wZ1lLTzQ5a0VQT0YtUDNwaXJERWl3VS1PSm1rT0dFcW5tLTFkUWFYU0VPVFpVeG5xbFlVdlpnbGZFRXcxVmZnVFRrTXJFOEozX1lOQWFkS1RVSng1UGJVYmpXeS10VWdnZmZZdFRwRmZDZHlQbGU2QUNUQU1KNEtR0gGHAUFVX3lxTE5WOElFQWZ6enRvYWNVai1ndjYxMkNKVkp0cWQyTlotRjdJWlpzT29jSEdaT3dtQUQySExNczZTU3JJTzBMX0J4VkNuX05ZZklrMjhYRkdPWGY0dWh1djZoV3dEWG82dDNDSUJaZkxrb1hVOXctd1dIcmt3ckczX2VENWI2LTJhVQ?oc=5
💊 Health,2025-11-17 05:02:00,"Are cloves good for oral health? Know its benefits, uses, and precautions - The Times of India","Are cloves good for oral health? Know its benefits, uses, and precautions  The Times of India",https://news.google.com/rss/articles/CBMi_wFBVV95cUxOVkxtTDQ4cWpZMzYtRVBJR1hua0x2U0VsRUl6WEhtLXJiY01vTkVtV3ZaMmd5MElEMXU3R29vY3NwYno5bjUwVlFrVUp0dUl2NEdjMDhEY1RHY2NkNlotSWx1OXpzRl9UV0hYLVR0YXRpLUU3QjQtR0ZSVWVMbHp1QWpOVGlScVFSeWtIVVJuTnc2Zk9GMUdVMkJlOVA4eGJvZGpKVnNmXzZ5UUk0NjlhQkdkYzJ2T09OaTVIam56YVNOMmFvRUVkVEt2MXJUTnhjbGhXTnpSdTVhTThKMnMxVVJsNDRKQjRjTFZMUFd6ZVpsU1JTbUZDZ19nRkszWjDSAYQCQVVfeXFMTVZsU1dqRjBHSlB6dHRWWjktNkp3eGJuWjJneS04MnA5WWhuemdMWmVzU3M1QkZHM1V6ZEdQQ0lZM1FKNHQyUVNkZUJkTzl6X29DZXlwZ283bEZpM1prM3ZEaTc2b1pvNWp1c01WaVlVbzdTMFpKS0lwYkRvVVNkdlNqTDYwbDhXbWEweWZSeXlKdG85bkdQTFdOaEhPLWNvd3hwUFFZSC1TVi1fUTllOWoyVzA3ajc5c2pMSkU4U2d1VndHckVLUlZLZXp0RTBIYnI2eHh3SW8wQzBnYVFXcEQzczlxcmRlLWxTakZHUXg0VnI1OXo2V202Q2pNSkUtTWlXWGI?oc=5
🏅 Sports,2025-11-17 05:00:17,Treasury planning tax rise on online sports gambling — but not horseracing - Financial Times,Treasury planning tax rise on online sports gambling — but not horseracing  Financial Times,https://news.google.com/rss/articles/CBMicEFVX3lxTE1HaFlzY1BvbTZCOXlLQzFRek9HQjJ5ZDBKSDJIUEs1Zl9FbDZ1djVwSEFvMlR2cjJrRjFEVWd6cTBkOE9tZkt2S1pGMjZkU3NsQUhiaVRrQ3d5cWJmZzVFVXJnc1BnYmJNMFg0MkZ0VzA?oc=5
🖥️ Technology,2025-11-17 04:58:47,"Capillary Technologies India IPO day 2: Here's GMP, subscription status, other key details - apply or not? - livemint.com","Capillary Technologies India IPO day 2: Here's GMP, subscription status, other key details - apply or not?  livemint.com",https://news.google.com/rss/articles/CBMi6wFBVV95cUxNcjU3N2dWYXdhX0liZTBCYWFFSWtZWWwtSUJxMk5SUVUxY0haVnF6MnJ5SU1OOGVsOXl5dWViamI2aGdYOHBadnpTbDY3bHU5QmJMaFktbjBYSU1rdk5BTmZ3T1AtcHNtb19xWHdxTVBFVzh1LWhlQmtxampzSWNMX2FOSUxVSjlBQnhhWEZqbk9lQXFOSTNFTkVkVnl0d1ExUmJ6OWZSOUlhQXhTRGtsbkRtQTd2X0tfWjBwQzh3OXYzTzFHbGdjN0RPTzBsbnB4NjNBY21vMnBleExTWE55b2dxYTdqbWltSHFz0gHwAUFVX3lxTFBxcjh2dXRndGdwREVka0lEQjdBUkRlMC1KU2F5QmZ0VGRXUEMwVFdILVlIX1BwMWhpdHl5R3R6S0Z4T0J1ektXYXkyRl8zdXJJUEdWbm15Vl9JQ2JDeWx1dGE4eDdGdFdyVjRWdkdJZVJmNU9uM0FfWmJOM29rWXFiQXVhZkRHNDRBcWFLVldlWTNXazY3d2ZGXzFWUGNiYk5XU1VzdjlrZVVEWFlyWlBkcXBFN1ZPaUZ4X2txamNnWmRiVmZIRjU3RUxJbm5XUEpnazdqdG9LU0RLQkRabE9DNl92TzUtUEN1SzBHSmdjdw?oc=5
🏅 Sports,2025-11-17 04:52:00,"Paige Greco, Australia’s Paralympic gold medalist, dies at 28 leaving sporting community in grief - The Times of India","Paige Greco, Australia’s Paralympic gold medalist, dies at 28 leaving sporting community in grief  The Times of India",https://news.google.com/rss/articles/CBMikgJBVV95cUxQYzlGSXA4N2h0d3ozU0pXcjQ5SzlydjR1LWpIRlRCU0VRTUU2MWpPMVRsdDQtT0ZoSzhMeDNGTU5fN3kydWhha2VSU0hpNWJSQXFnTklUTnFFejhRX2tWcWJ5cGdOV1FQbmo5UTVRTk5LRFB5cXFvQ29wa3Zzak50Ym15dEpRbTBZd3VadzN0eEIyNzhtY3FRalg5RFJabVRERTdKaC10eUZvcmJ6ajZrQ09UN3JMOXV3WDZTZXlPbFU4ajE0Zk5STG9ETGxZeFJvaHZCMllLc1pCVjJ6cVRjcElDZlU3ZFE5cERZeFN3encyQ1VpdTBCOFBQMGtDTEE3OFFDZzR5QnpjWnM5S1lNbmF30gGXAkFVX3lxTFBGU3lQa2l3MW9Pc0dVWGw0YzBjRGxnXzhLWjUySnQ1S1FzVk8yRlRsUjBXcEJyVnQ4V1ZfNGRhTFpPMnRuZy1uNlF0cmtVazNWY0JjWUgzSUtVaUpUNVZ0bEtadHd3ejZPTTBvODdBR3I4RjBaekZCeG8zNlYyTEFWZjRQUHpla3ZGOWNVel9DS2xadzV6ajA3Y3JQQTJXUDFndmdqdWhXRFZYOHRFSU5NSzdCTXJsTEEwOGdkWDF1NEYxRk0tWHZITEJadlh2LWhiOWtBVUZCTjd0dGhUdEt4cWhCNnZjY2NqS3ZuSXlMdTN5TE9valV2TDZseWE5aU1kbmNBeVJUdDJWdURROVhNY3p6NFlCcw?oc=5
💊 Health,2025-11-17 03:57:49,Dharmendra Health Updates: Deol family plans to celebrate the veteran actor’s 90th birthday as he continues to recover at home - The Times of India,Dharmendra Health Updates: Deol family plans to celebrate the veteran actor’s 90th birthday as he continues to recover at home  The Times of India,https://news.google.com/rss/articles/CBMitwJBVV95cUxQTW9HMnFsTXNFMnRDa2gzeGR2NzNVV25GSGZDU1RCTDF1TF9XVDMxUjduYk9pWGQwNWRJUnFrdmk0V1RsZ3lPVFAzUTkybU90UEdvSFJHcDF1X3BIMk1qNG1PZ01zZVZyZUZEVUgyRGpNOUdQcDZBa3VRWWlkZnlKcWFtaWpmMHZublpaUzNvQlZfYi1qSkRVaFpzeloxcF96eXd2UFFOQ1d6UlFIYVFvZ0RSVHpKajhWSzFUUDdDakcxVUdIaldqbUt1bTNBSTA1Vzl4S3gwTnN5b0RnRHB6d0JtM3EydmtmZTU3aHZLM3ZqZXphaktkNDFBYXNkdUE3V21oNmZpWFBtU3Q3RFcxRGlDR2dXMU5tUDdKTWhFd1R4SlF4SXdlSjd0VzF4cmwyOVAwY052Y9IBvAJBVV95cUxPcFo1ZnBWb0d4dURIMUZwdFE5blpMc2phVHpObldJbkRQYzg2Wktnb0x3QVBpSWtZTmQxbktaRHNFaTE3eDU1NElmZVFaX2hjUVlNUU84SEhzRGZGU29GSmdXMWNfaUFYSm43LUI0MXQ4T0l1elRxVlVpZW9SOG56Q3NMWm82YmpfWm9JeEcyWU9TQmZlMHlrSl9mTXVIb1Vhc1dsYUMwTzluN3o5WGpNM05zV2h4T3F1YUZiS19SNnFuMTZxZ24yLVRzazJvYTFoZ2pJT2hEemNwTm5teC0tV1JQUDV5b2RpUnFWckQxZzM1TFMyamdybDJiTkRnWFV2RTUwU0VUdnFCUk9vbTNZMTlPMFpmTzJTQzR1WmpVenhGcEE1MEk1UG1oN0dWajJySmZSOS12U0tRR1Jr?oc=5
🔬 Science,2025-11-17 03:51:09,AI & Digital Tools for Implementation Science - Amrita Vishwa Vidyapeetham,AI & Digital Tools for Implementation Science  Amrita Vishwa Vidyapeetham,https://news.google.com/rss/articles/CBMigAFBVV95cUxOQ0gzTTZBVlFMMFU3TzZ4UlFwbEFRSDM2RFlEV2dKVWZpM3Q1b1lNcTg5WXJpRDYtX2Q3cjFSTGdRbDFKWlNaM2xfRVZGWHdjQ1E1SUw1YzVTMGZILTk0Z0NWMDZ2blZCc3lqV1Z4YWVEd1BRaEJfVm9qMVVwV2R3Vw?oc=5
🖥️ Technology,2025-11-17 03:43:08,Ideaforge Technology shares soar 10% as co lands over Rs 100 crore in defence orders - The Economic Times,Ideaforge Technology shares soar 10% as co lands over Rs 100 crore in defence orders  The Economic Times,https://news.google.com/rss/articles/CBMi7wFBVV95cUxPc2U4WVdnaVN2Wi1FazdUeDBrNHpDZE4ybUxMV3ZZNVNQajc2eFNJUW1ZSVNqV1lGdkp1YjhyTFhTSmpObDVERF9pQVJPUjRScHdnOG4yUFl4V0RsOFVtNGt3ZXFLNzZYMHRpUEdXSElER1NuaHVkWGxTRXlrcDE1YklyWEM0RFBDRTE0cjJMT0xlNFNsNGlfNm5tLVlhclRxQUtYemV6cXlSQnpMb3Z2VjhYMnU3aFNpOGFEUm93dHBPeV80blRCajh4TEFpS2ZkSGN5MzRvam9wU01tTm9HTENMeVhxUjBZNExmZ1NzUdIB9AFBVV95cUxQdXpuV1dERUxKZ0hQM3ZCVlc1WWNvUUszbkQ0NmZnQWY4MzhNOVdpWTJ6OHhKSjAyUzd6OG1kLWI3VTQxU2tlS3l0ZDhaUGgxeWNKa3VfRTlLUV9kQl9ZVlFOMVhNS0xCRVBBRHBhbWFkWG1ERC1XWVlfeVZySm1CemkzN1hHdTdSWDB3MG1lb3lscHZKNmFKN2RVcUNzU1BIMkd2bHB1TlZNV0F5T0d4MDhJTGpnaDFtTlRLN21MQVFfV2YxZklzckhJU2ZGaVpVeEt1cTdzZW03dXZYcXNFUlJjMGdEaVdtM0JiQThiRmlzZ1pj?oc=5
🏅 Sports,2025-11-17 02:24:31,Sports Authority of Andhra Pradesh sets up panel to probe violations of kabaddi players - The New Indian Express,Sports Authority of Andhra Pradesh sets up panel to probe violations of kabaddi players  The New Indian Express,https://news.google.com/rss/articles/CBMi6gFBVV95cUxPVDZxZTgzSGFOYm1nMlNkVXJ2bm00YldOb3VYSU1NMlUwNWJLY3NrVHRtWm5sektwUi00QnoxUTdvUkFiY0ZYMTRQOW1kZ0hDSkh0OTZiOWs1NVZtb3hFSnR5c0dpTkItSFVlMzZDWjkxckRvakdTZ1NmbGQtWEhZSXhoUWVidV9iTkxKTVhTZXptd21ZNXB2ZXd2X0F2QWpOb3JZOXJCdjdNcExXOEtfd1FYMEhGZFdFVHpSM25nTzlLT2k4d1ZoMWUzbG5sREpRaEpIQlU0SnY1dXk4cldjY2xha0g3UHZUZWfSAfcBQVVfeXFMTlF1Sm1lZkpQSlRNY3VnQWhfazlnTkFZMFZCNlRGanN1ZGNBd2N0aXNvWjNrSHhST1hJS01GRWUydW1TYklZbHdpTWhLZkh3cGdaWEZIU1NLT2tKS0JrU2d4WEpadm1HcEhzNHYyZXZpWVdaMnFUTXN4TXRyZ0sxRFBfY3NYSG90eTh2S0tLd3A5cTRfQThlNWszRWd4NENVTHZWT0NLS1lYOWVfWTJIblZnenJVMk5vOHFxSEVIdndNckpGMmlBdy1seEVKSi1KakJhM3dCeFBJSFFZSmE0VWJXejN3ZHRkLUpUQWpKeE5tOEo4anZTdw?oc=5
🖥️ Technology,2025-11-17 01:33:37,"Breakthrough in desalination technology, using carbon ‘flowers’ - BusinessLine","Breakthrough in desalination technology, using carbon ‘flowers’  BusinessLine",https://news.google.com/rss/articles/CBMiywFBVV95cUxPNHVGSkZCYlJZRVYzdjV6cWZrMmlWaWF5cmlvczdNUnFiWTE1UmhXT0pkUDhWUExtdFV3MjQ0Z0FUWmU5eks2amZ4dmpzQ0lDY2MzS25SSGx6eUNRLS1URnFVY3ZILUx1dGFXUG5hNklrU0pmMGNSVm4yVllmNnZGQUdEaU5HVTh1OHpTZWtLX0NMWjNqVXlvOUVNTGdrV09rVzF2SVpRNW5DTG50V0VzbVVRNU5wY25rb1IzWXBzWTJRTlJzZFZYVWVRMNIB0gFBVV95cUxPdDVQV3RIX21ORzE5X1U4SkZKVzE2YUpCYmN6Yk5JUGQ5SzAyREpsMi1zbWI2REJMLU5lckZNa3BOV0Q5dTlkOFJ4ZktsYXRNOEJmbFlvT3BmN2p5RkJPQnpIRU9WSXpyRkNkWE1sT21DdkFrSkhLbzd4R2tja2dJRS1GVXNId2Z6dXZsZzFfX1dYTTRiSUFSRnRIYVdTbWNSdFBYSENvNHJ1TlMzVE9CcmJvQThzdWdQZjFPcGxnNDFJTFZZcWl4SUpUR2hjWjFOekE?oc=5
💊 Health,2025-11-17 00:32:00,How tax break is reshaping health insurance choices - The Hindu,How tax break is reshaping health insurance choices  The Hindu,https://news.google.com/rss/articles/CBMiswFBVV95cUxPYWZ6TnBBNWpNWmpPbF9heUk4eU1yMjRVWUYyLVBlN2doYndHUTl6NXdoLVpEbWlnZE9pVGtjYmFQSnhDSGZWOFpHSlJUVzBfc004bjVOS1A0cjhnN1NBNGVvTjJNYVg2SkhZYS1FVzQ0bm8tVkVQaEFQQ0xTNEtWd01NMW1vMzdZQ3Y4M25qaTFNakhxZ2FTUHBfSXRTN0JaWkFMNm0zQy0zY1JPMG9pUFljb9IBugFBVV95cUxObVlGeWdEQ1lZeFpTX1JpcEZQNS1OX3h1aGk4THh2bS1WUEFsa2tRU2JYeGQxOXE4UnR4ak1MMmhNbDRicFhTRmhGYWctajNXbnYyQlplM19qalNTTFhSeW9ubmpBZGZDdnR4MzloajUyLTM2ZVZtR1JSQkNBT29PdW93ZXhNV2lpaEVRbjFNQm5vOV85YWk4d1RkU3AyckI3bjVLOXRBN0phQXIxMnpjeElNQWNHQWhMT3c?oc=5
🏅 Sports,2025-11-17 00:30:00,"School assembly news headlines, November 17: Top India, world, sports, business news - India Today","School assembly news headlines, November 17: Top India, world, sports, business news  India Today",https://news.google.com/rss/articles/CBMi5gFBVV95cUxNS3ZwTHB0ODZvblJZSTA0Mlc3TVgzYVJIV3dVS3g2dlhlTEw1LXViUHdkZVNCUTBvYzZBdEdBbmE2dUlLLWZ2WEhId05Sa25MWnVJT2l3dDNMUVRObk82UmpCcDVUZmdWMjVCWHgtSEhTQTdvRGYyTVVpUThNTXF6R014OUp2bjF2TXBSOHFsZWlkMzlzSmVHZTNOcG9oeGVWaDdmSVctelVFMmh5Um5YZHR3RjFidWlWT2pfWGNmTll0YWwzUlc1NTM0NlppS1hIQ0E5Sng3Q2JmdGxpR0tJVkVHOHQ4UdIB6wFBVV95cUxQRWRUdlFDNURlUURBWnNiVkNPeEdTQS1fYl9yWFJiQ04yaWlHcG5QeGZJNG1jckpnUXRYSmlnQTdQVjh6S2o5bXpqeDVKdzY3LU9uVVhpWHFCLUJHZFBsVkJoUFJ3ejFEaFEzbDJlTU94Q0ZFZ0hhc1NKY0NSekdvV3FRNC1HdjU2SjZrM3pMbm5ZeThobDR1QXQ0cVlQZmdBa1BQOFhjODN5SEJVOTAxbDhrMlI1UEE2d0tnOXQxXzlPbGxrdGUyMzBzaXFoSnQtcFVzLWtfVVRTN1huckVMUFljR3hTeGNtMnNv?oc=5
